company,group_title,position,workplace,commitment,location,position_url
arcteryx.com,ERP & Corporate Systems,"Project Manager, Supply Chain Planning",Hybrid,Full-time,"North Vancouver, BC (Corporate)",https://jobs.lever.co/arcteryx.com/f85f684e-b0f0-4bfb-b1a8-9dab1bbc2a36
aventon,Sr. Video Producer,Sr. Video Producer,On-site,Full-Time,"Brea, California",https://jobs.lever.co/aventon/b400ac67-655d-48e6-b174-3c7210441eea
aventon,Fraud Prevention,Fraud Preventative Specialist,On-site,Full-Time,"Brea, California",https://jobs.lever.co/aventon/e5e56cb3-f3bc-4611-9f60-fb7dabbb84d8
aventon,People/HR,Human Resource Assistant,On-site,Full-Time,"Brea, California",https://jobs.lever.co/aventon/59b22510-1f55-492c-abc4-f49092ac70e3
aventon,Warehouse,Inventory Control Supervisor,On-site,Full-Time,"Ontario, California",https://jobs.lever.co/aventon/c3f32863-bebd-4fee-b3d1-dc03dd22bdb1
aventon,Warehouse,Inventory Specialist,On-site,Full-Time,"Ontario, California",https://jobs.lever.co/aventon/b5b84b8c-cbb4-4942-94fe-2d9a0b2fe945
aventon,Growth,Sales Support Representative,On-site,Full-Time,"Brea, California",https://jobs.lever.co/aventon/52c76978-5b8a-452c-8f01-0a712aaff4be
aventon,B2B Sales,Business Development Representative,On-site,Full-Time,"Brea, California",https://jobs.lever.co/aventon/ae22ead4-f81c-4233-89a2-3b72b87acf98
aventon,B2B Sales,Field Sales Representative,Remote,Full-Time,United States,https://jobs.lever.co/aventon/d21596fa-fe90-41a0-ab1e-c380d6061ad0
brooksrunning,Apparel Operations,"Apparel Project Manager, Temporary",Hybrid,Temporary,"US, Washington, Seattle",https://jobs.lever.co/brooksrunning/1523d441-2aeb-4384-8d58-efcff052ba76
brooksrunning,Finance,"Finance Director, APAC",Hybrid,Full Time,"China, Shanghai",https://jobs.lever.co/brooksrunning/bf366b0e-cd3a-4465-81b0-86b5fb1ad13c
brooksrunning,Footwear Business,"Senior Manager, Footwear Business",Hybrid,Full Time,"US, Washington, Seattle",https://jobs.lever.co/brooksrunning/fbe7346b-87ae-4288-b078-161f8e0e435a
brooksrunning,Footwear Design,"Director, Footwear Design",Hybrid,Full Time,"US, Washington, Seattle",https://jobs.lever.co/brooksrunning/20eb5fe3-9b27-4b4e-a96d-c16896803804
brooksrunning,Footwear Design,"Senior Designer, Color, Material Finishes (CMF) Design - Footwear",Hybrid,Full Time,"US, Washington, Seattle",https://jobs.lever.co/brooksrunning/4792ecb8-6a48-474b-bea1-9e5f4d9a6819
brooksrunning,Footwear Merchandising,"Lifestyle Category Manager, EMEA",Hybrid,,"Netherlands, Amsterdam",https://jobs.lever.co/brooksrunning/3f58a47e-720d-4ab9-aa30-557793004a38
brooksrunning,Footwear Product Development,Footwear Developer I,Hybrid,Full Time,"US, Washington, Seattle",https://jobs.lever.co/brooksrunning/347bc5b9-3f96-41e7-8d8b-fcde5dc2a292
brooksrunning,Footwear Research & Development,"Senior Material Developer, Footwear",Hybrid,Full Time,"US, Washington, Seattle",https://jobs.lever.co/brooksrunning/c4480e68-63d5-4c18-bae6-6666a4b5d64b
brooksrunning,Human Resources,"Manager, Workday System",Hybrid,Full Time,"US, Washington, Seattle",https://jobs.lever.co/brooksrunning/299d21cc-37f6-445b-b0ee-373ea4df4df7
brooksrunning,Digital Products,Senior Release Train Engineer,Hybrid,Full Time,"US, Washington, Seattle",https://jobs.lever.co/brooksrunning/e214d593-c508-4d3f-9dc0-67e20869a256
brooksrunning,Information Technology,IT Infrastructure and Operations Technician EMEA (6 months contract),Hybrid,,"Netherlands, Amsterdam",https://jobs.lever.co/brooksrunning/83f0c940-8df7-4f59-b18f-e8814990d224
brooksrunning,Bothell Outlet Store,Outlet Store Manager,On-site,Full Time,"US, Washington, Bothell",https://jobs.lever.co/brooksrunning/ba253767-906a-458f-90b1-ac6aa4944642
brooksrunning,Bothell Outlet Store,Retail Sales Associate - Bothell Outlet Store,On-site,Part Time,"US, Washington, Bothell",https://jobs.lever.co/brooksrunning/e4edc76a-8476-4285-9187-74253e8775cf
brooksrunning,eCommerce,eCommerce Operations Intern,Hybrid,,"Netherlands, Amsterdam",https://jobs.lever.co/brooksrunning/67bba486-e3ec-4865-863f-a8d498ed2cd4
brooksrunning,Trailhead Retail Store,Retail Sales Associate I,On-site,Part Time,"US, Washington, Seattle",https://jobs.lever.co/brooksrunning/236958da-b8b7-4f98-985c-4a0e928728f8
brooksrunning,Customer Service,B2C Runner Experience Representative EMEA,Hybrid,,"Netherlands, Amsterdam",https://jobs.lever.co/brooksrunning/07509ef1-5893-42a5-9e13-33c2aa59d7a0
brooksrunning,Customer Service,Customer Service Manager UK & IE,Hybrid,,"UK, Birmingham",https://jobs.lever.co/brooksrunning/b6b83e2a-f8c6-47e8-a6a8-f021ff1041cc
brooksrunning,Customer Service,"Supervisor, Rex EMEA",Hybrid,,"Netherlands, Amsterdam",https://jobs.lever.co/brooksrunning/ee9202e4-d3db-4508-8db9-af8c33157d29
brooksrunning,National Account Sales,Tech Rep National Key Accounts UK,Remote,,"UK, Birmingham",https://jobs.lever.co/brooksrunning/509d61e7-0848-4b48-8a95-abe3d7fae679
brooksrunning,National Account Sales,Tech Rep Northwest France,Hybrid,,"France, Les Milles",https://jobs.lever.co/brooksrunning/82cbc24d-4277-4ed3-99e6-fa8c2750eb6a
brooksrunning,National Account Sales,Technical Representative – Belgium & Luxembourg,Remote,,Belgium,https://jobs.lever.co/brooksrunning/5ce72ac5-a9e7-4817-9312-a4d11a6f8683
brooksrunning,Distribution,Distribution Center (DC) Waving Planner - 12:00pm - 8:30pm,On-site,Full Time,"US, Indiana, Whitestown",https://jobs.lever.co/brooksrunning/20de34d8-52aa-4733-8afd-ffd8c2851f72
brooksrunning,Supply Chain,Demand Planning Intern EMEA,Hybrid,,"Netherlands, Amsterdam",https://jobs.lever.co/brooksrunning/6dbaf369-48ab-4e6b-b350-bffc97ed7e9b
